ISBN,Title,Description ,,Author,Tags,;,Topics
0195019199,A Pattern Language  ," is a book written to describe a new ""language"" of patterns of design based on problems that occur repeatedly in building human infrastructure.  Over the course of years, the designers identified these and found core solutions, which are the patterns.  The patterns start at the level of designs for towns, and go all the way to features for the home & garden.  Specifically created to enable people to design their own living spaces.",, Christopher Alexander ,"patterns, reference, design, permaculture",;,(re)Design & Permaculture
0292712804,America's Neighborhood Bats: Understanding and Learning to Live in Harmony with Them," Information on types of bats, misconceptions, how to keep them from nesting where you don't want them, attracting them where you do, and how to live in harmony with them.",, Merlin D. Tuttle ,bats,;,Flora & Fauna
0376039167,Sunset Western Garden Book," a comprehensive encyclopedia of plants that grow from the Pacific Ocean to the Eastern slopes of the Rockies. It has a detailed set of climate zone maps, lots of pictures & drawings, lists of plants for fragrance, winter color, etc., and cultivation information. A handy reference to plants that can grow here.",,the Editors of Sunset Books and Sunset Magazine,gardening,;,Food & Gardening
0385073534,The Foxfire Book ," Editor is the first in a series of books that contains all sorts of folk lore and traditional skills as related by Appalachian old-timers to the local high school students who transcribed them.  Some of the skills described throughout the series are soap making, chimney building, making chairs, shoe making, hide tanning, wagon making, making a water-powered saw mill, planting by the signs, and many other valuable skills it would be a shame to lose.",, Eliot Wiggenton,"history, low tech, homesteading, folk remedies",;,Preparedness & Low Energy Skills
0425091724,Tom Brown's Guide to City and Suburban Survival ," a manual on what to do if the power goes out, if there is an ice storm, if your pipes freeze, if there is a natural disaster, or even if you are threatened by crime.  He talks about how the most important factor in survival is how we react in an emergency situation.  If your body is healthy and your mind is aware of hazards and able to consider ""what ifs"" in a given situation, you have the best chance of making the right decisions and being able to take the right actions to survive.  A great reference.",, Tom Brown Jr. ,,;,Preparedness & Low Energy Skills
0425100634,Tom Brown's Guide to Wild Edible and Medicinal Plants ," was written not so much as a field guide, but as ""an intimate account of the plant people.""  By this Brown is referring to the plants as beings that we can communicate with on a certain level.  His insight into the natural world is as fascinating as his anecdotes.  He wants to share his experiences with the plant world with us.  Along the way, you will learn the medicinal actions of many plants.",," Tom Brown, Jr.","Identification, edible plants, medicinal plants, foraging, survival skills",;,Food & Gardening
0520218019,Natural Enemies Handbook: The Illustrated Guide to Biological Pest Control ," a great reference for organic gardeners with lots of large color pictures to help you understand the biological controls that are going on in your garden.  The chapters detail enemies of plant pathogens, nematodes, weeds, & arthropods - how to identify them and what they do.  Great for working on your observational skills.",, Mary Louise Flint and Steve H. Dreistadt ,"IPM, insects",;,Food & Gardening
0571161162,The Complete Herbal Handbook for Farm and Stable," is a handbook for herbal treatment of your animals, including sheep, goats, cows, horses, poultry, dogs & bees.  There is a large ""Materia Medica Botanica"" describing the herbs, their uses and how to prepare them.  This is a common-sense guide to keeping your animals healthy in the first place from a well-known herbalist who has practiced for many years.",, Juliette de Bairacli Levy,"chickens, animal husbandry",;,Flora & Fauna
0646418440,Permaculture - Principles & Pathways Beyond Sustainability  ," David Holmgren fills an important niche - it defines twelve permaculture design principles and shows how to apply them on every level from garden to global.   Holmgren keeps a positive focus on designing to prepare for the coming ""energy descent.""  Each principle for designing sustainable systems is thoroughly discussed, along with ways to evaluate your own situation and change it if necessary.     ",, David Holmgren,"permaculture, sustainability, organic gardening, peace, ethics, intelligence, policy, prosperity",;,(re)Design & Permaculture
0671693956,Stocking Up: The Third Edition of America's Classic Preserving Guide ," a definitive guide to almost every kind of food preservation-canning, freezing, drying, ground storage, pickling, jams/jellies, juicing, making butter, cheese, yogurt, ice cream, preserving meats/poultry/fish, grains, nuts, seeds & sprouts, and recipes for all the above.  Thorough and reliable.",, Carol Hupping,"cookbook, canning, food preserving, canning recipes, food preservation, self reliance, survival skills",;,Food & Gardening 
0688160646,Uncommon Fruits and Vegetables: A Commonsense Guide ," is the recipe book you want for all the new or less-familiar fruits and vegetables you can grow in your food forest, or find in the farmer's markets and groceries.  Some are not as uncommon now as they were when the book was written, but the recipes are still welcome additions to your collection.  Blood oranges, cardoon, feijoa, nopales, quince, salsify, winged beans, & much more.",, Elizabeth Schneider,edible plants,;,Food & Gardening 
0761123865,Sunflower Houses: A Book for Children and Their Grown-Ups ," a reminder to include children in your garden design.  It suggests plants (bleeding heart is ""for fairy gondolas or earrings""), plantings (a floral clock garden, an alphabet garden), and secret places (bean teepees or sunflower houses), how to make flower dolls, and many more engaging ways to share nature with children.",, Sharon Lovejoy ,gardening,;,Food & Gardening
0865475873,Cradle to Cradle: Remaking the Way We Make Things , is a wakeup call on something we usually take for granted - that manufactured products will degenerate and eventually need to be thrown away,, William McDonough & Michael Braungart,redesign,;,(re)Design & Permaculture
0865714843,Microhydro: Clean Power from Water ," is a book about residential-scale hydroelectric power.  It tells you how to assess your electrical needs, the hydro potential of your site, how to choose a system (including AC versus DC), how to install the system, and common regulations and incentives.  It also includes some case studies to illustrate the potential of hydroelectric systems.  ",, Scott Davis,"microhydro, renewable energy, conservation, energy independence",;,Air & Water
0865715106,Power Down: Options and Actions for a Post-Carbon World ," looks at peak oil and the end of cheap energy.  He explains how we got where we are, and describes 4 potential scenarios for the future: Last One Standing-the way of war & competition",, Richard Heinberg ,"peak oil, alternative energy, public policy",;,(re)Design & Permaculture
0865715440,"The Solar Food Dryer: How to Make and Use Your Own High-Performance, Sun-Powered Food Dehydrator ", is a great manual for building a well-designed solar food dryer.  You can even add a backup electrical system for those surprize cloudy days in the middle of drying.  Drying food yourself during harvest season is a great way to help ensure a supply of healthy and inexpensive food. ,, Eben Fodor,"solar dryer, food dehydrator, solar cooking ",;,Food & Gardening 
0878577521,The New Seed-Starters Handbook ," a complete guide to the process of germination and care of seedlings.  Full of information on planting mediums, containers, transplanting, nutrition, pests & diseases, and seed storage.  The majority of the book is a listing of the specific requirements for growing common garden vegetables, herbs, some fruits, flowers, wildflowers, trees, & shrubs from seed.  A fantastic resource.",, Nancy Bubel,seed starting,;,Food & Gardening
0878579915,The Rodale Book of Composting: Easy Methods for Every Gardener  , sets out all the basics for composting.  It has a good section on natural sources of nutrients your soil may need and construction plans for several different composting systems.  ,," Deborah L. Martin & Grace Gershuny, Editors ","soil improvement, composting, gardening",;,Soils
0881929441,Uncommon Fruits for Every Garden ," introduces us to unusual tree fruits and berries, all of which can be grown in the Pacific Northwest.  For each he talks about the history, description, cultivation, propagation, harvest & use, and describes cultivars of the plant.  A great way introduction to new plants you may want to try.",, Lee Reich,edible plants,;,Food & Gardening
0882663569,Garden Way's Joy of Gardening Cookbook ," is full of recipes for all your garden's standard vegetables.  The alphabetical listing makes recipes for any desired veggie easy to find, and information, hints and tips about each one are also included.  ",, Janet Ballantyne,gardening,;,Food & Gardening 
0882666118,The Chicken Health Handbook," An in-depth book on all aspects of chicken health including nutrition, anatomy, diseases, parasites, and other conditions that affect the well-being of your flock.  A great reference for all chicken owners.  Includes a useful diagnostic guide and treatment instructions, as well as an alphabetical list of diseases and disorders.",, Gail Damerow ,"chickens, veterinary medicine",;,Flora & Fauna
0882667033,Root Cellaring: Natural Cold Storage of Fruits & Vegetables , is the classic guide to creating your own root cellar and every kind of produce you can keep in it.  It can be as simple as a closet or as elaborate as a specially dug or built room.  Specific storage conditions are given for each fruit and vegetable.,, Mike and Nancy Bubel,"Food preservation,  homesteading, food storage",;,Food & Gardening 
0882668978,A Guide to Raising Chickens (A Storey Animal Handbook)," A comprehensive guide to everything from choosing a breed of chicken to raising chicks to housing, feeding and breeding and more.  An excellent overview of what to expect when raising chickens..",, Gail Damerow ,chickens,;,Flora & Fauna
0898151694,Mushrooms Demystified ," a comprehensive identification guide to over 2000 mushroom species, with over 800 photos including color plates.  It includes both edible and non-edible species.  Helpful keys guide you through identification and reference the differences of look-alikes.  A good investment for anyone serious about hunting wild mushrooms.",, David Arora ,"mushrooms, mycology, field guide",;,Flora & Fauna
0898153883,All That the Rain Promises and More ," a field guide to common western mushrooms.  All of the many pictures are in color, and many of them are quite whimsical.  It also includes recipes (including a very good one for blewitts and chantrelles) and recollections of memorable mushroom hunts.   ",, David Arora ,"mushrooms, mycology, field guide",;,Flora & Fauna
0898158966,The Complete Modern Blacksmith ," is another learn-as-you-go textbook of blacksmithing skills.  The book follows the format the author used for teaching smithing classes.  The 3 sections are The Making of Tools, The Modern Blacksmith (including correct hammer & body motions and how to improvise ""things"" out of ""nothing""), and The Recycling, Use and Repair of Tools.  There are illustrated step-by-step instructions for every project.",, Alexander G. Weygers,metal work,;,Construction & Housing
0908228015,Permaculture: A Designers' Manual  ," is the ""bible"" of permaculture. It is an intense read cover-to-cover but a fabulous resource on all aspects of permaculture, which is ecologically-based whole-systems design.  You will find everything from design methodology to pattern understanding, climate, soil, water, trees, aquaculture, and human institutions like alternatives to government, trusts, land access, and ethical investing.  A wealth of collected knowledge for the serious permie.",, Bill Mollison ,"permaculture, sustainability",;,(re)Design & Permaculture
0908228066,The Permaculture Book of Ferment and Human Nutrition ," is a survey of fermented foods of all types from around the world, with recipes.  You could bring krill in soy sauce to your next potluck!  Every culture has fermented foods in its cuisine, as fermentation increases digestibility and nutrient content.  An interesting read that presents many opportunities for experimentation",, Bill Mollison,"fermentation, nutrition",;,Food & Gardening 
0908228082,Introduction to Permaculture  ," is a solid overview of the foundations of permaculture design.  This book is a good starting point to find out what permaculture is all about and how to start doing it.  It's got a lot of information, which is mostly not duplicated in the design manual (above).  Recommended for the beginner who wants to design sustainability into their life.  ",, Bill Mollison ,"permaculture, sustainability, simple living",;,(re)Design & Permaculture
0911469036,Stalking the Wild Asparagus ," serves as inspiration to go outside and eat your weeds!  His love of plants and food comes through clearly on every page.  Consider his recipes for Japanese knotweed - cooked like asparagus, or cooked, chilled and blended for a cold soup, as an ingredient in an aspic salad, or used like rhubarb in pies/jams/sauces. Enjoyable for reading or experimenting.",, Euell Gibbons,"Identification, edible plants, foraging, field guide",;,Food & Gardening
0930031849,Forest Gardening ," who is a pioneer of of planting food in ""forests"" rather than orchards.  Without much knowledge of gardening, Hart was able to plant an incredible diversity of edible plants in a relatively small space by intermixing trees, vines, shrubs, and perennials much as they appear in nature.  He describes the evolution of his ""mini-forest"" and what he harvested and learned from it, as well as similar applications elsewhere in the world, and their significance. ",, Robert Hart,"forest gardens, permaculture",;,Food & Gardening
0931380189,The Maritime Northwest Garden Guide ," an excellent year-round organic gardening guide.  Each month has plants to start indoors and outdoors (when applicable) as well as timely articles on season-extenders, compost, cover crops, organic pest management, wildlife plants, and many other topics relevant to the organic gardener.  An outstanding resource that is beneficial for both beginning and experienced gardeners.",, Seattle Tilth,gardening,;,Food & Gardening
0938250140,Toward Saving the Honeybee," is a book written ""to raise our awareness regarding all facets of beekeeping in relation to the honeybee's health: forms, substances & materials for hives",, Gunther Hauk,bees,;,Flora & Fauna
0942364155,Where There is No Doctor: A Village Health Care Handbook ," may be the most widely-used health care manual for health workers involved in primary health care around the world.  It provides practical, easily understood information on how to diagnose, treat & prevent common diseases.  It is largely intended for use in third-world countries, but is applicable anywhere conventional medical treatment is not available.   ",, David Werner,"medicial, emergency medicine",;,Preparedness & Low Energy Skills 
0962464864,"Chicken Tractor: The Permaculture Guide to Happy Hens and Healthy Soil ""All New Straw Bale Edition"""," Build your chickens a straw-bale coop and a chicken tractor for a run, and watch them eat your pests, till and fertilize your soil, and provide you with eggs and other useful products!  Easy to read with photos and many line drawings.   ",, Andy Lee and Pat Foreman,chickens,;,Flora & Fauna
0963810928,You Can Farm: The Entrepreneur's Guide to Start and $ucceed in a Farming Enterprise, Joel Salatin who is the owner of the famous Polyface Farm in Virginia.  He shares his sustainable method of producing the highest-quality animal products humanely while improving the fertility and wildlife-supporting qualities of his land.  His system is amazingly well-designed and each animal's function in the system is directly based on their natural habits.,, Joel Salatin,farming,;,Flora & Fauna
0964343398,"The New Create an Oasis with Greywater: Choosing, Building and Using Greywater Systems "," is a thorough guide to creating 20 different kinds of greywater systems.  It explains what greywater is (recycled water from all household uses except toilets) and why, how, when to and when NOT to use it.  Excellent reference for building both simple and complex systems.",, Art Ludwig,grey water,;,Air & Water
0964583801,Entertaining With Insects Or: The Original Guide to Insect Cookery ," just what it sounds like: a cookbook containing recipes for grasshoppers, mealworms & bees.  The authors have appeared on various TV shows like the Mike Douglas Show & The Johnny Carson Show demonstrating their delicious insect hors d'oeuvres, snacks, soups, salads, main courses, and desserts.  Insects are a staple food in many parts of the world! ",, Ronald L. Taylor & Barbara J. Carter ,insects,;,Flora & Fauna
0964728087,Arborsculpture: Solutions for a Small Planet ," is natural building taken to the next level.  He outlines the techniques for growing trees grafted, pruned & otherwise trained to form fences, chairs, tables, structures you can enter, and art.  He recounts the history and writings of others who have experimented in this area, as well as his own creations, and includes lots of pictures of these tree ""sculptures.""  Amazing and inspiring.  His studio is located in Williams, Oregon.",, Richard Reames,trees,;,Food & Gardening 
0967089735,Nourishing Traditions: The Cookbook that Challenges Politically Correct Nutrition and the Diet Dictocrats ," is an educational cookbook based on the findings of dentist Weston Price in traveling around the world to study the diets of the healthiest people he encountered.  His controversial findings, that animal & tropical fats and fermented foods are critical to human health, and that refined grains, sugar & vegetable oils are detrimental, are reflected in the many recipes.",, Sally Fallon,nutrition ,;,Food & Gardening 
0974237914,The Bat House Builder's Handbook," Plans for building bat houses and ""secrets for success"" in attracting bats to use them.  Bats eat many insect pests, notably mosquitos, and provide a rich fertilizer (guano) that can be used in your garden.  In addition, their aerial acrobatics are amazing to watch on a warm summer evening.  Learn how to invite bats into your permaculture design!",, Merlin D. Tuttle & Donna L. Hensley ,bats,;,Flora & Fauna
0977246418,Rainwater Harvesting for Dryland and Beyond Volume II,,, Brad Lancaster,rain water,;,Air & Water
0979043778,Alcohol Can Be A Gas: Fueling an Ethanol Revolution for the 21st Century ," explains the history, whys, and how-tos of alcohol as a fuel.  He illustrates the method by which alcohol fuel production is ecologically sustainable, revitalizes farms and communities, and creates new opportunities for small-scale businesses.  The book is full of information, including study of the alcohol fuel program in Brazil.  A detailed and inspiring application of permaculture design.",, David Blume,"permaculture, biofuels, renewable energy, peak oil",;,Energy
1438225784,Water for Every Farm: Yeoman's Keyline Plan  ," is another early    influence on permaculture.  Australian miner Yeoman was very familiar with water flow management, a critical concern in mining.  In this important work he sets out the system he developed for capturing water on the land and putting it to work for you.  The book explains the concepts of key points - the areas in the landscape where water naturally collects, and keylines, which are slightly off-contour lines dug or plowed into the land to collect and hold water.  He also explains how to site dams & roads, and how to design for erosion control.  ",, P.A. Yeoman ,,;,(re)Design & Permaculture
1551055309,Plants of the Pacific Northwest Coast ," is one of the best guides out there.  It divides plants by type (trees, shrubs, wildflowers, aquatics, grasses, etc.) and then by family, and includes keys to each family and a color plate of each species.  There is a map showing the range where each can be found and interesting notes about each plant.  A great resource for native plants.",, Jim Pojar and Andy MacKinnon,"Identification, field guide",;,Food & Gardening
